username,password,email,expected
john123,pass123,john@example.com,false
,pass123,john@example.com,false
alice,short,alice@mail.com,false
bob123,password,bobmail.com,false
carol,password,carol@domain.com,false
khoi123456,Password*,kpham6488@gmail.com,true
,,,false
khoi,Pas*,K@gmail.com,false
user01,Abcdef*,user01@gmail.com,true
user02,Abcdef1,user02@gmail.com,false
user03,abcdef*,user03@gmail.com,false
user04,ABCDEF*,user04@gmail.com,false
user05,Abcdef*,user05gmail.com,false
ab,Abcdef*,ab@gmail.com,false
validUser,Strong@123,valid.user@company.org,true
testUser1,Test@123,test.user@mail.com,true
testUser2,test@123,test2@mail.com,false
testUser3,TEST@123,test3@mail.com,false
